iter	Passed	Remaining
0	3	299
1	4	197
2	5	162
3	5	137
4	6	126
5	7	116
6	8	107
7	8	100
8	9	94
9	10	90
10	10	85
11	11	82
12	11	79
13	12	76
14	13	74
15	13	71
16	14	69
17	14	68
18	15	66
19	16	64
20	16	63
21	17	61
22	18	60
23	18	59
24	19	58
25	20	57
26	21	57
27	21	56
28	22	55
29	23	54
30	24	53
31	24	52
32	25	51
33	26	50
34	26	49
35	27	48
36	28	48
37	28	47
38	29	46
39	30	45
40	30	44
41	31	42
42	31	42
43	32	41
44	33	40
45	34	40
46	35	40
47	36	39
48	37	38
49	37	37
50	38	37
51	39	36
52	40	35
53	40	34
54	41	33
55	42	33
56	42	32
57	43	31
58	44	30
59	44	29
60	45	29
61	46	28
62	46	27
63	47	26
64	48	26
65	49	25
66	49	24
67	50	23
68	51	23
69	52	22
70	52	21
71	53	20
72	54	20
73	54	19
74	55	18
75	56	17
76	57	17
77	58	16
78	58	15
79	59	14
80	59	14
81	60	13
82	61	12
83	62	11
84	63	11
85	63	10
86	64	9
87	65	8
88	65	8
89	66	7
90	67	6
91	68	5
92	68	5
93	69	4
94	70	3
95	70	2
96	71	2
97	72	1
98	72	0
99	73	0
